Datetime,division,val
2021-07-10 오전 12:39:43,U10_B,27.9
2021-07-10 오전 12:39:43,U11_A,28.9
2021-07-10 오전 12:39:43,U11_B,27.9
2021-07-10 오전 12:41:39,U0_A,29.2
2021-07-10 오전 12:41:39,U0_B,28.9
2021-07-10 오전 12:41:39,U1_A,22.8
2021-07-10 오전 12:41:39,U1_B,22.8
2021-07-10 오전 12:41:39,U2_A,22.8
2021-07-10 오전 12:41:39,U2_B,22.8
2021-07-10 오전 12:41:39,U3_A,26.6
2021-07-10 오전 12:41:39,U3_B,25.8
2021-07-10 오전 12:41:39,U4_A,26.0
2021-07-10 오전 12:41:39,U4_B,25.5
2021-07-10 오전 12:41:39,U5_A,28.1
2021-07-10 오전 12:41:39,U5_B,27.5
2021-07-10 오전 12:41:39,U6_A,31.2
2021-07-10 오전 12:41:39,U6_B,28.2
2021-07-10 오전 12:41:39,U7_A,27.6
2021-07-10 오전 12:41:39,U7_B,26.6
2021-07-10 오전 12:41:39,U8_A,30.0
2021-07-10 오전 12:41:39,U8_B,28.1
2021-07-10 오전 12:41:39,U9_A,29.9
2021-07-10 오전 12:41:39,U9_B,28.1
2021-07-10 오전 12:41:39,U10_A,30.0
2021-07-10 오전 12:41:39,U10_B,27.8
2021-07-10 오전 12:41:39,U11_A,28.9
2021-07-10 오전 12:41:39,U11_B,27.9
2021-07-10 오전 12:44:16,U0_A,29.2
2021-07-10 오전 12:44:16,U0_B,28.9
2021-07-10 오전 12:44:16,U1_A,22.8
2021-07-10 오전 12:44:16,U1_B,22.8
2021-07-10 오전 12:44:16,U2_A,22.8
2021-07-10 오전 12:44:16,U2_B,22.8
2021-07-10 오전 12:44:16,U3_A,26.6
2021-07-10 오전 12:44:16,U3_B,25.8
2021-07-10 오전 12:44:16,U4_A,26.0
2021-07-10 오전 12:44:16,U4_B,25.5
2021-07-10 오전 12:44:16,U5_A,28.1
2021-07-10 오전 12:44:16,U5_B,27.5
2021-07-10 오전 12:44:16,U6_A,31.2
2021-07-10 오전 12:44:16,U6_B,28.2
2021-07-10 오전 12:44:16,U7_A,27.6
2021-07-10 오전 12:44:16,U7_B,26.6
2021-07-10 오전 12:44:16,U8_A,30.0
2021-07-10 오전 12:44:16,U8_B,28.1
2021-07-10 오전 12:44:16,U9_A,29.9
2021-07-10 오전 12:44:16,U9_B,28.1
2021-07-10 오전 12:44:16,U10_A,30.0
2021-07-10 오전 12:44:16,U10_B,27.9
2021-07-10 오전 12:44:16,U11_A,29.0
2021-07-10 오전 12:44:16,U11_B,27.9
2021-07-10 오전 12:46:19,U0_A,29.2
2021-07-10 오전 12:46:19,U0_B,28.9
2021-07-10 오전 12:46:19,U1_A,22.8
2021-07-10 오전 12:46:19,U1_B,22.8
2021-07-10 오전 12:46:19,U2_A,22.8
2021-07-10 오전 12:46:19,U2_B,22.8
